year,cohort,collector,nest,clutch,female.code,male.code,eggs,hatched,unhatched,hatching.success,dead.chicks,fledged,annual.recruits,laying.date,hatch.date,female.cohort,female.dob,male.dob,female.age,male.age,rel.laying.date,first.female.lay.date,female.reprod.age,lifetime.recruits,last.date.seen,last.date.bred,dead.or.alive,female.lifespan
2006,J06/07,NA,B22/27,1,1,101,4,4,0,1,3,1,0,28/10/06,15/11/06,J05/06,2/12/05,1/12/04,330,696,37,23/11/06,-26,2,15/02/15,10/12/15,dead,3660
2006,J06/07,NA,B22/28,2,1,101,4,4,0,1,4,0,0,21/12/06,1/08/07,J05/06,2/12/05,1/12/04,384,750,91,23/11/06,28,2,15/02/15,10/12/15,dead,3660
2006,J06/07,NA,B22/29b,1,2,102,4,4,0,1,1,3,0,6/11/06,25/11/06,J05/06,2/12/05,1/12/02,339,1436,46,5/12/06,-29,0,15/02/07,6/11/06,dead,440
2006,J06/07,NA,B21/9,1,3,103,5,0,5,0,0,0,0,22/11/06,NA,J05/06,3/12/05,NA,354,NA,62,NA,NA,0,15/09/06,30/01/07,dead,423
2006,J06/07,NA,B21/9,R1,3,103,4,0,4,0,0,0,0,30/01/07,NA,J05/06,3/12/05,NA,423,NA,131,NA,NA,0,15/09/06,30/01/07,dead,423
2006,J06/07,NA,B2/10,1,4,104,4,4,0,1,0,4,0,4/11/06,22/11/04,J05/06,5/12/05,1/12/05,334,338,44,1/12/06,-27,1,15/09/10,9/12/09,dead,1745
2006,J06/07,NA,B21/11,1,5,105,4,4,0,1,0,4,0,8/11/06,26/11/06,J05/06,9/12/05,1/12/02,334,1438,48,5/12/06,-27,0,15/02/08,27/12/07,dead,798
2006,J06/07,NA,B22/13a,1,6,106,4,4,0,1,1,3,1,29/10/06,16/11/06,J05/06,1/12/05,1/12/05,332,332,38,NA,NA,1,15/02/13,5/01/13,dead,2633
2006,J06/07,NA,B1/12,1,6,107,4,3,1,0.75,0,3,1,1/11/06,19/11/06,J05/06,8/12/05,1/12/05,328,335,41,26/11/06,-25,1,15/02/13,5/01/13,dead,2626
2006,J06/07,NA,B22/13a,2,6,106,4,4,0,1,4,0,1,4/01/07,20/01/07,J05/06,8/12/05,1/12/05,479,399,105,26/11/06,126,1,15/02/13,5/01/13,dead,2626
2006,J06/07,NA,AB1,1,7,108,5,4,1,0.8,2,2,0,27/11/06,15/01/07,J05/06,11/12/05,1/12/04,351,726,67,30/12/06,-33,4,15/09/08,1/12/09,dead,1451
2006,J06/07,NA,B2/8,1,8,109,4,4,0,1,2,2,0,8/11/06,26/11/06,J05/06,11/12/05,1/12/04,332,707,48,7/11/06,1,0,15/02/06,9/01/07,dead,394
2006,J06/07,NA,B22/29,2,8,102,3,3,0,1,3,0,0,9/01/07,25/01/07,J05/06,1/12/05,1/12/02,404,1500,110,NA,NA,0,15/02/06,9/01/07,dead,404
2006,J06/07,NA,B22/8,1,9,110,4,3,1,0.75,0,3,1,3/11/06,21/11/06,J05/06,11/12/05,1/12/03,327,1068,43,2/12/06,-29,2,15/02/10,28/12/10,dead,1843
2006,J06/07,NA,B1G1,1,10,111,4,3,1,0.75,0,3,0,30/10/06,16/11/06,J05/06,11/12/05,1/12/03,323,1064,39,NA,NA,0,15/02/07,30/10/06,dead,431
2006,J06/07,NA,B23/3,1,11,112,4,4,0,1,0,4,1,6/11/06,23/11/06,J05/06,12/12/05,1/12/03,329,1071,46,NA,NA,1,15/09/10,31/10/10,dead,1784
2006,J06/07,NA,SDB4,1,12,103,4,2,2,0.5,0,2,0,4/11/06,22/11/06,J05/06,14/12/05,NA,325,NA,44,2/12/06,-28,2,15/02/09,4/01/10,dead,1482
2006,J06/07,NA,B1/10,1,13,113,4,2,2,0.5,0,2,0,26/10/06,12/11/06,J05/06,14/12/05,1/01/05,316,663,35,NA,NA,0,15/02/07,9/12/06,dead,428
2006,J06/07,NA,B1/9,2,13,113,4,4,0,1,0,4,0,9/12/06,26/12/06,J05/06,14/12/05,1/01/05,272,707,79,NA,NA,0,15/02/07,9/12/06,dead,428
2007,J07/08,walker,B22/28,1,1,114,5,5,0,1,1,4,0,26/10/07,14/11/07,J05/06,1/12/05,1/12/04,713,1059,30,26/10/07,0,2,15/02/15,10/12/15,dead,3661
2007,J07/08,walker,B22/28,2,1,114,4,4,0,1,1,3,0,26/12/07,10/01/08,J05/06,1/12/05,1/12/04,770,1120,91,26/10/07,61,2,15/02/15,10/12/15,dead,3661
2007,J07/08,walker,B2/7,1,4,103,4,4,0,1,1,3,0,28/10/07,15/11/07,J05/06,1/12/05,NA,714,NA,32,28/10/07,0,1,15/09/10,9/12/09,dead,1749
2007,J07/08,walker,B2/9,2,4,115,4,4,0,1,1,3,0,26/12/07,12/01/08,J05/06,1/12/05,1/12/06,772,390,91,28/10/07,59,1,15/09/10,9/12/09,dead,1749
2007,J07/08,walker,B22/5b,1,14,103,4,3,1,0.75,0,3,0,15/11/07,3/12/07,J06/07,1/12/06,NA,367,NA,50,15/11/07,0,1,15/02/11,3/11/10,dead,1537
2007,J07/08,walker,B1/10,1,15,113,4,3,1,0.75,1,2,0,9/11/07,27/11/07,J06/07,1/12/06,1/01/05,361,1042,44,9/11/07,0,0,15/02/08,1/01/08,dead,441
2007,J07/08,walker,B1/G2,2,15,116,4,3,1,0.75,3,0,0,1/01/08,18/01/07,J06/07,1/12/06,1/12/05,396,761,97,9/11/07,53,0,15/02/08,1/01/08,dead,441
2007,J07/08,walker,B21/11,1,5,105,5,5,0,1,2,3,0,29/10/07,16/11/07,J05/06,1/12/05,1/12/02,715,1793,33,29/10/07,0,0,15/02/08,27/12/07,dead,806
2007,J07/08,walker,B21/12,2,5,105,4,3,1,0.75,3,0,0,27/12/07,13/01/08,J05/06,1/12/05,1/12/02,773,1852,92,29/10/07,59,0,15/02/08,27/12/07,dead,806
2007,J07/08,walker,SV/1,1,6,117,5,3,2,0.6,1,2,0,30/10/07,17/11/07,J05/06,1/12/05,1/12/00,716,2524,34,30/10/07,0,1,15/02/13,5/01/13,dead,2633
2007,J07/08,walker,SV/1,2,6,117,5,5,0,1,2,3,0,23/12/07,10/01/08,J05/06,1/12/05,1/12/00,770,2578,88,30/10/07,54,1,15/02/13,5/01/13,dead,2633
2007,J07/08,walker,AB/1,1,7,108,4,3,1,0.75,2,1,1,20/11/07,7/12/07,J05/06,1/12/05,1/12/04,736,1084,55,20/11/07,0,4,15/09/08,1/12/09,dead,1461
2007,J07/08,walker,B22/8,1,9,110,5,5,0,1,1,4,0,24/10/07,11/11/07,J05/06,1/12/05,1/12/03,710,1423,28,24/10/07,0,2,15/02/10,28/12/10,dead,1853
2007,J07/08,walker,B22/15,2,9,110,4,3,1,0.75,3,0,0,26/12/07,12/01/08,J05/06,1/12/05,1/12/03,772,1486,91,24/10/07,63,2,15/02/10,28/12/10,dead,1853
2007,J07/08,walker,B22/23,1,16,118,5,3,2,0.6,0,3,2,22/10/07,11/11/07,J05/06,1/12/05,1/02/03,710,1724,26,22/10/07,0,4,15/09/12,21/12/10,dead,2480
2007,J07/08,walker,B22/24,2,16,118,4,3,1,0.75,3,0,2,17/12/07,3/01/08,J05/06,1/12/05,1/02/03,763,1780,82,22/10/07,56,4,15/09/12,21/12/10,dead,2480
2007,J07/08,walker,B23/5,1,11,112,4,4,0,1,0,4,0,29/10/07,16/11/07,J05/06,1/12/05,1/12/03,715,1428,33,29/10/07,0,1,15/09/10,31/10/10,dead,1795
2007,J07/08,walker,B23/5,2,11,112,4,4,0,1,2,2,0,24/12/07,10/01/08,J05/06,1/12/05,1/12/03,770,1484,89,29/10/07,56,1,15/09/10,31/10/10,dead,1795
2007,J07/08,walker,FB/1,1,12,103,4,4,0,1,2,2,0,31/10/07,18/11/07,J05/06,1/12/05,NA,717,NA,35,31/10/07,0,2,15/02/09,4/01/10,dead,1495
2007,J07/08,walker,FB/2,2,12,103,4,2,2,0.5,2,0,0,20/12/07,7/01/08,J05/06,1/12/05,NA,767,NA,85,31/10/07,50,2,15/02/09,4/01/10,dead,1495
2007,J07/08,walker,B3/1,1,17,119,3,2,1,0.666666667,2,0,0,6/12/07,23/12/07,J06/07,1/12/06,1/12/02,387,1831,71,6/12/07,0,2,15/09/11,6/01/11,dead,1749
2008,J08/09,walker,B22/28,1,1,114,5,4,1,0.8,NA,4,0,29/10/08,17/11/08,J05/06,1/12/05,1/12/04,1082,1428,4,26/10/07,369,2,15/02/15,10/12/15,dead,3661
2008,J08/09,walker,B22/27,2,1,114,4,4,0,1,4,0,0,27/12/08,13/01/09,J05/06,1/12/05,1/12/04,1139,1487,63,26/10/07,428,2,15/02/15,10/12/15,dead,3661
2008,J08/09,walker,B2/7,1,4,115,4,4,0,1,3,1,0,1/11/08,18/11/08,J05/06,1/12/05,1/12/06,1083,701,7,28/10/07,370,1,15/09/10,9/12/09,dead,1749
2008,J08/09,walker,B2/3,2,4,115,4,4,0,1,4,0,0,19/12/08,NA,J05/06,1/12/05,1/12/06,1114,749,55,28/10/07,418,1,15/09/10,9/12/09,dead,1749
2008,J08/09,walker,SC/2,1,14,103,4,4,0,1,NA,4,0,7/11/08,26/11/08,J06/07,1/12/06,NA,726,NA,13,15/11/07,358,1,15/02/11,3/11/10,dead,1537
2008,J08/09,walker,SV/1,1,6,117,5,5,0,1,2,3,0,3/11/08,21/11/08,J05/06,1/12/05,1/12/00,1086,2894,9,30/10/07,370,1,15/02/13,5/01/13,dead,2633
2008,J08/09,walker,SV/1,2,6,117,4,4,0,1,4,0,0,28/12/08,13/01/09,J05/06,1/12/05,1/12/00,1139,2949,64,30/10/07,425,1,15/02/13,5/01/13,dead,2633
2008,J08/09,walker,B21/14,1,7,120,5,4,1,0.8,1,3,2,5/11/08,24/11/08,J05/06,1/12/05,1/01/03,1089,2135,11,20/11/07,351,4,15/09/08,1/12/09,dead,1461
2008,J08/09,walker,B21/10,2,7,120,4,3,1,0.75,3,0,2,26/12/08,12/01/09,J05/06,1/12/05,1/01/03,1138,2186,62,20/11/07,402,4,15/09/08,1/12/09,dead,1461
2008,J08/09,walker,B22/8,1,9,110,5,3,2,0.6,NA,3,1,27/10/08,15/11/08,J05/06,1/12/05,1/12/03,1080,1792,2,24/10/07,369,2,15/02/10,28/12/10,dead,1853
2008,J08/09,walker,B22/15,2,9,110,4,3,1,0.75,3,0,1,22/12/08,9/01/09,J05/06,1/12/05,1/12/03,1135,1848,58,24/10/07,425,2,15/02/10,28/12/10,dead,1853
2008,J08/09,walker,B22/23,1,16,118,5,3,2,0.6,NA,3,0,25/10/08,12/11/08,J05/06,1/12/05,1/02/03,1077,2093,0,25/10/08,0,4,15/09/12,21/12/10,dead,2480
2008,J08/09,walker,B22/24,2,16,118,4,4,0,1,1,3,0,19/12/08,5/01/09,J05/06,1/12/05,1/02/03,1131,2148,55,25/10/08,55,4,15/09/12,21/12/10,dead,2480
2008,J08/09,walker,B23/1,1,11,121,5,3,2,0.6,NA,3,0,4/11/08,22/11/08,J05/06,1/12/05,1/01/04,1087,1769,10,4/11/08,0,1,15/09/10,31/10/10,dead,1795
2008,J08/09,walker,B23/2,2,11,121,4,3,1,0.75,NA,NA,0,28/12/08,14/01/09,J05/06,1/12/05,1/01/04,1140,1823,64,4/11/08,54,1,15/09/10,31/10/10,dead,1795
2008,J08/09,walker,SDB/4,1,12,122,5,5,0,1,2,3,1,27/10/08,14/11/08,J05/06,1/12/05,1/12/06,1079,696,2,31/10/07,362,2,15/02/09,4/01/10,dead,1495
2008,J08/09,walker,SDB/5,2,12,122,4,4,0,1,NA,NA,1,19/12/08,4/01/09,J05/06,1/12/05,1/12/06,1130,749,55,31/10/07,415,2,15/02/09,4/01/10,dead,1495
2008,J08/09,walker,WV3,1,17,103,4,4,0,1,NA,4,0,30/10/08,17/11/08,J06/07,1/12/06,NA,717,NA,5,6/12/07,329,2,15/09/11,6/01/11,dead,1749
2008,J08/09,walker,WV4,2,17,103,3,3,0,1,NA,NA,0,28/12/08,13/01/09,J06/07,1/12/06,NA,774,NA,64,6/12/07,388,2,15/09/11,6/01/11,dead,1749
2008,J08/09,walker,B22/7,1,18,123,4,3,1,0.75,1,2,1,19/11/08,6/12/08,J07/08,10/12/07,1/12/04,371,1449,25,19/11/08,0,1,15/09/09,5/01/11,dead,1122
2008,J08/09,walker,SDB/1b,1,19,124,4,4,0,1,2,2,0,3/11/08,20/11/08,J07/08,12/12/07,7/01/08,355,301,9,3/11/08,0,0,15/09/08,3/11/08,dead,327
2008,J08/09,walker,B4/2,1,20,103,3,3,0,1,3,0,0,3/12/08,20/12/08,J07/08,14/12/07,NA,385,NA,39,3/12/08,0,3,15/02/17,28/11/16,dead,3351
2008,J08/09,walker,B4/1,R1,20,103,3,3,0,1,NA,NA,0,10/01/09,27/01/09,J07/08,14/12/07,NA,423,NA,77,3/12/08,38,3,15/02/17,28/11/16,dead,3351
2008,J08/09,walker,B22/32,1,21,103,3,2,1,0.666666667,2,0,0,23/11/08,10/12/08,J07/08,14/12/07,NA,375,NA,29,23/11/08,0,0,15/09/13,22/10/13,dead,2139
2008,J08/09,walker,B2/9,1,22,125,4,3,1,0.75,3,0,0,18/11/08,6/12/08,J07/08,20/12/07,1/12/06,371,718,24,18/11/08,0,0,15/02/16,31/01/16,dead,2979
2008,J08/09,walker,B22/25,1,23,126,4,3,1,0.75,3,0,0,18/11/08,6/12/08,J07/08,17/12/07,1/12/00,371,2909,24,18/11/08,0,1,15/02/09,22/10/13,dead,2136
2008,J08/09,walker,B6/2,1,24,103,4,4,0,1,2,2,0,27/11/08,15/12/08,J07/08,19/12/07,NA,380,NA,33,27/11/08,0,0,15/02/16,29/01/16,dead,2980
2008,J08/09,walker,FB/2,1,25,103,3,1,2,0.333333333,NA,1,0,21/11/08,9/12/08,J07/08,27/12/07,NA,374,NA,27,21/11/08,0,0,15/09/10,2/01/11,dead,1102
2008,J08/09,walker,B2/11,1,26,127,3,1,2,0.333333333,1,0,0,18/11/08,5/12/08,J07/08,30/12/07,1/01/05,370,1417,24,18/11/08,0,0,15/09/12,8/11/12,dead,1775
2008,J08/09,walker,B2/11,R1,26,127,4,4,0,1,3,1,0,17/12/08,3/01/09,J07/08,30/12/07,1/01/05,399,1446,53,18/11/08,29,0,15/09/12,8/11/12,dead,1775
2008,J08/09,walker,B22/31,1,27,103,4,4,0,1,4,0,0,22/11/08,10/12/08,J07/08,7/01/08,NA,344,NA,28,#NAME?,#NAME?,0,15/02/08,6/11/10,dead,1034
2009,J09/10,soeder,B22/27,1,1,114,4,3,1,0.75,2,2,1,27/10/09,15/11/09,J05/06,1/12/05,1/12/04,1445,1791,1,26/10/07,732,2,15/02/15,10/12/15,dead,3661
2009,J09/10,soeder,B22/28,2,1,114,5,5,0,1,2,3,1,17/12/09,4/01/10,J05/06,1/12/05,1/12/04,1495,1842,52,26/10/07,783,2,15/02/15,10/12/15,dead,3661
2009,J09/10,soeder,B2/10,1,4,125,4,4,0,1,4,0,1,7/11/09,25/11/09,J05/06,1/12/05,1/12/06,1455,1072,12,28/10/07,741,1,15/09/10,9/12/09,dead,1749
2009,J09/10,soeder,B2/1,2,4,115,4,3,1,0.75,NA,3,1,9/12/09,26/12/09,J05/06,1/12/05,1/12/06,1486,1104,44,28/10/07,773,1,15/09/10,9/12/09,dead,1749
2009,J09/10,soeder,SC/1,1,14,103,4,2,2,0.5,NA,2,0,26/11/09,14/12/09,J06/07,1/12/06,NA,1109,NA,31,15/11/07,742,1,15/02/11,3/11/10,dead,1537
2009,J09/10,soeder,SV/1,1,6,117,4,4,0,1,NA,4,0,28/10/09,14/11/09,J05/06,1/12/05,1/12/00,1444,3253,2,30/10/07,729,1,15/02/13,5/01/13,dead,2633
2009,J09/10,soeder,SV/2,2,6,117,4,4,0,1,2,2,0,21/12/09,6/01/10,J05/06,1/12/05,1/12/00,1497,3307,56,30/10/07,783,1,15/02/13,5/01/13,dead,2633
2009,J09/10,soeder,B21/14,1,7,128,3,3,0,1,NA,3,1,1/12/09,20/12/09,J05/06,1/12/05,30/12/08,1480,336,36,20/11/07,742,4,15/09/08,1/12/09,dead,1461
2009,J09/10,soeder,B22/8,1,9,110,5,5,0,1,2,3,0,26/10/09,14/11/09,J05/06,1/12/05,1/12/03,1444,2156,0,24/10/07,733,2,15/02/10,28/12/10,dead,1853
2009,J09/10,soeder,B22/15,1?,9,110,4,2,2,0.5,2,0,0,21/12/09,8/01/10,J05/06,1/12/05,1/12/03,1499,2212,56,24/10/07,789,2,15/02/10,28/12/10,dead,1853
2009,J09/10,soeder,B22/23,1,16,118,3,3,0,1,NA,3,0,27/10/09,14/11/09,J05/06,1/12/05,1/02/03,1444,2460,1,22/10/07,736,4,15/09/12,21/12/10,dead,2480
2009,J09/10,soeder,B22/24,2,16,118,4,3,1,0.75,NA,3,0,16/12/09,4/01/10,J05/06,1/12/05,1/02/03,1495,2510,51,22/10/07,786,4,15/09/12,21/12/10,dead,2480
2009,J09/10,soeder,B23/5,1,11,112,5,5,0,1,1,4,0,19/11/09,7/12/09,J05/06,1/12/05,1/12/03,1467,2180,24,29/10/07,752,1,15/09/10,31/10/10,dead,1795
2009,J09/10,soeder,SDB4,1,12,129,5,5,0,1,4,2,1,13/11/09,1/12/09,J05/06,1/12/05,10/12/08,1461,338,18,31/10/07,744,2,15/02/09,4/01/10,dead,1495
2009,J09/10,soeder,SDB5,2,12,129,3,2,1,0.666666667,2,0,1,4/01/10,20/01/10,J05/06,1/12/05,10/12/08,1511,390,70,31/10/07,796,2,15/02/09,4/01/10,dead,1495
2009,J09/10,soeder,WV3,1,17,130,4,3,1,0.75,1,2,0,14/11/09,1/12/09,J06/07,1/12/06,23/12/07,1096,692,19,6/12/07,709,2,15/09/11,6/01/11,dead,1749
2009,J09/10,soeder,B22/36,1,18,123,5,4,1,0.8,1,3,0,28/11/09,18/12/09,J07/08,10/12/07,1/12/04,748,1823,33,19/11/08,374,1,15/09/09,5/01/11,dead,1122
2009,J09/10,soeder,B4/2,1,20,131,4,4,0,1,1,3,0,21/11/09,8/12/09,J07/08,14/12/07,13/12/08,738,343,26,21/11/09,0,3,15/02/17,28/11/16,dead,3351
2009,J09/10,soeder,B22/13A,1,21,132,4,3,1,0.75,1,2,0,27/11/09,14/12/09,J07/08,14/12/07,1/01/07,744,1061,32,23/11/08,369,0,15/09/13,22/10/13,dead,2139
2009,J09/10,soeder,B2/7,1,22,133,5,4,1,0.8,2,2,0,26/11/09,14/12/09,J07/08,20/12/07,17/12/07,744,710,31,18/11/08,373,0,15/02/16,31/01/16,dead,2979
2009,J09/10,soeder,B22/19,1,23,134,4,1,3,0.25,NA,1,0,28/11/09,16/12/09,J07/08,17/12/07,1/12/05,712,1458,33,NA,NA,1,15/02/09,22/10/13,dead,2136
2009,J09/10,soeder,B21/4,1,24,135,4,3,1,0.75,NA,3,0,8/11/09,26/11/09,J07/08,19/12/07,3/02/08,726,644,13,27/11/08,346,0,15/02/16,29/01/16,dead,2980
2009,J09/10,soeder,FB/2,1,25,103,5,5,0,1,NA,5,0,25/11/09,NA,J07/08,27/12/07,NA,699,NA,30,21/11/08,369,0,15/09/10,2/01/11,dead,1102
2009,J09/10,soeder,B2/12,1,26,136,5,5,0,1,1,4,0,21/11/09,9/12/09,J07/08,30/12/07,1/01/07,739,1055,26,18/11/08,368,0,15/09/12,8/11/12,dead,1775
2009,J09/10,soeder,B21/8,1,28,137,3,0,3,0,NA,0,0,14/11/09,NA,J08/09,14/12/08,16/12/07,335,699,19,NA,NA,2,15/02/10,1/11/12,dead,1418
2009,J09/10,soeder,B21/8,1,28,137,3,3,0,1,NA,3,0,3/12/09,21/12/09,J08/09,14/12/08,16/12/07,385,718,38,3/12/09,0,2,15/02/10,1/11/12,dead,1418
2009,J09/10,soeder,SDBB1B,1,29,103,4,4,0,1,1,3,0,20/11/09,7/12/09,J08/09,14/12/08,NA,371,NA,25,20/11/09,0,2,15/09/11,24/12/11,dead,1105
2009,J09/10,soeder,B21/13,1,29,135,4,3,1,0.75,3,0,0,8/12/09,25/12/09,J08/09,14/12/08,3/02/08,389,674,43,20/11/09,18,2,15/09/11,24/12/11,dead,1105
2009,J09/10,soeder,SDB2,1,30,138,4,4,0,1,2,2,0,16/11/09,3/12/09,J08/09,14/12/08,1/12/04,367,1811,21,16/11/09,0,0,15/02/09,2/10/11,dead,1022
2009,J09/10,soeder,B1/13A,1,31,139,4,0,4,0,NA,0,0,28/10/09,NA,J08/09,14/12/08,17/12/08,318,315,2,NA,NA,2,15/09/11,6/11/11,dead,1057
2009,J09/10,soeder,B1/13A,1,31,140,4,3,1,0.75,NA,3,0,25/11/09,NA,J08/09,14/12/08,31/01/08,346,664,30,25/11/09,0,2,15/09/11,6/11/11,dead,1057
2009,J09/10,soeder,WR5,1,32,141,4,3,1,0.75,1,2,1,26/11/09,13/12/09,J08/09,19/12/08,1/12/01,377,2917,31,26/11/09,0,2,15/02/13,12/12/12,dead,1519
2009,J09/10,soeder,B21/11,1,33,142,3,2,1,0.666666667,NA,2,0,26/11/09,13/12/09,J08/09,20/12/08,30/12/08,377,331,31,26/11/09,0,0,15/09/10,9/12/10,dead,719
2009,J09/10,soeder,B23/1,1,34,103,3,3,0,1,3,0,0,5/12/09,21/12/09,J08/09,23/12/08,NA,385,NA,40,5/12/09,0,0,15/09/09,9/12/09,dead,351
2009,J09/10,soeder,B1/1,1,34,103,3,2,1,0.666666667,2,0,0,9/12/09,25/12/09,J08/09,23/12/08,NA,351,NA,44,NA,NA,0,15/09/09,9/12/09,dead,351
2009,J09/10,soeder,B1/2,1,35,143,4,2,2,0.5,2,0,0,11/11/09,29/11/09,J08/09,23/12/08,2/02/09,363,282,16,11/11/09,0,0,15/09/11,5/12/11,dead,1077
2009,J09/10,soeder,B1/3,Rep 1,35,143,3,2,1,0.666666667,NA,2,0,23/12/09,9/01/10,J08/09,23/12/08,2/02/09,404,324,58,11/11/09,42,0,15/09/11,5/12/11,dead,1077
2009,J09/10,soeder,B1/15,1?,36,111,4,2,2,0.5,1,1,0,20/11/09,7/12/09,J08/09,24/12/08,1/12/03,371,2181,25,20/11/09,0,0,15/09/10,30/10/10,dead,675
2009,J09/10,soeder,FB/1,1,37,103,3,3,0,1,3,0,0,8/12/09,25/12/09,J08/09,26/12/08,NA,389,NA,43,8/12/09,0,0,15/02/09,8/12/09,dead,347
2009,J09/10,soeder,B3/1,1,38,144,3,3,0,1,3,0,0,1/01/10,17/01/10,J08/09,6/01/09,21/12/08,381,376,67,1/01/10,0,1,15/09/09,28/10/10,dead,660
2009,J09/10,soeder,WV4,1,39,103,4,1,3,0.25,1,0,0,7/12/09,26/12/09,J08/09,4/02/09,NA,328,NA,42,7/12/09,0,4,15/09/11,20/12/12,dead,1415
2009,J09/10,soeder,SDB5,1,40,129,4,0,4,0,NA,0,0,NA,NA,J08/09,9/02/09,10/12/08,NA,NA,NA,NA,NA,0,15/09/10,17/12/10,dead,676
2010,J10/11,walker,B2/13,1,41,145,5,5,0,1,1,4,1,31/10/10,19/11/10,J09/10,NA,1/02/05,NA,2098,9,31/10/10,0,1,15/09/11,15/11/12,dead,NA
2010,J10/11,walker,B2/14,2,41,145,3,3,0,1,3,0,1,1/01/11,17/01/11,J09/10,NA,1/02/05,NA,2160,71,31/10/10,62,1,15/09/11,15/11/12,dead,NA
2010,J10/11,walker,B22/28,1,1,114,5,3,2,0.6,0,3,0,29/10/10,16/11/10,J05/06,1/12/05,1/12/04,1811,2158,7,26/10/07,1099,2,15/02/15,10/12/15,dead,3661
2010,J10/11,walker,B22/27,2,1,114,4,3,1,0.75,3,0,0,30/12/10,15/01/11,J05/06,1/12/05,1/12/04,1871,2220,69,26/10/07,1161,2,15/02/15,10/12/15,dead,3661
2010,J10/11,walker,SC/1,1,14,146,5,4,1,0.8,1,3,1,3/11/10,22/11/10,J06/07,1/12/06,19/12/08,1452,684,12,15/11/07,1084,1,15/02/11,3/11/10,dead,1537
2010,J10/11,walker,SC/K30,2,14,146,4,3,1,0.75,0,3,1,NA,17/01/11,J06/07,1/12/06,19/12/08,1508,NA,NA,15/11/07,NA,1,15/02/11,3/11/10,dead,1537
2010,J10/11,walker,SV/1,1,6,103,5,3,2,0.6,3,0,0,15/11/10,3/12/10,J05/06,1/12/05,NA,1828,NA,24,30/10/07,1112,1,15/02/13,5/01/13,dead,2633
2010,J10/11,walker,SV/2,R1,6,103,4,3,1,0.75,3,0,0,28/12/10,14/01/11,J05/06,1/12/05,NA,1870,NA,67,30/10/07,1155,1,15/02/13,5/01/13,dead,2633
2010,J10/11,walker,B22/8,1,9,110,5,4,1,0.8,0,4,0,26/10/10,13/11/10,J05/06,1/12/05,1/12/03,1808,2521,4,24/10/07,1098,2,15/02/10,28/12/10,dead,1853
2010,J10/11,walker,B22/8,2,9,110,4,3,1,0.75,2,0,0,28/12/10,14/01/11,J05/06,1/12/05,1/12/03,1870,2584,67,24/10/07,1161,2,15/02/10,28/12/10,dead,1853
2010,J10/11,walker,B22/24,1,16,103,5,3,2,0.6,0,3,1,25/10/10,12/11/10,J05/06,1/12/05,NA,1807,NA,3,25/10/08,730,4,15/09/12,21/12/10,dead,2480
2010,J10/11,walker,B22/23,2,16,147,4,2,2,0.5,0,2,1,21/12/10,7/01/11,J05/06,1/12/05,24/12/09,1863,362,60,25/10/08,787,4,15/09/12,21/12/10,dead,2480
